iter	Passed	Remaining
414	3105	4377
415	3109	4365
416	3117	4358
417	3127	4353
418	3134	4345
419	3139	4335
420	3146	4327
421	3153	4319
422	3159	4309
423	3166	4301
424	3172	4292
425	3180	4285
426	3185	4274
427	3191	4264
428	3196	4254
429	3204	4247
430	3210	4238
431	3215	4228
432	3221	4218
433	3228	4210
434	3235	4202
435	3242	4194
436	3249	4186
437	3255	4177
438	3262	4169
439	3268	4159
440	3275	4151
441	3281	4143
442	3288	4135
443	3295	4126
444	3300	4115
445	3307	4108
446	3312	4097
447	3319	4089
448	3326	4082
449	3333	4074
450	3340	4066
451	3348	4059
452	3355	4051
453	3362	4043
454	3369	4036
455	3376	4028
456	3383	4020
457	3389	4010
458	3399	4006
459	3412	4006
460	3422	4002
461	3433	3998
462	3441	3991
463	3445	3980
464	3450	3969
465	3457	3962
466	3462	3952
467	3467	3941
468	3474	3934
469	3480	3925
470	3487	3917
471	3494	3909
472	3505	3906
473	3513	3898
474	3520	3890
475	3525	3881
476	3532	3872
477	3539	3864
478	3544	3855
479	3549	3844
480	3556	3837
481	3563	3829
482	3570	3821
483	3577	3813
484	3582	3803
485	3590	3797
486	3597	3789
487	3605	3782
488	3612	3775
489	3619	3766
490	3626	3759
491	3633	3751
492	3638	3741
493	3645	3734
494	3651	3724
495	3658	3717
496	3665	3709
497	3670	3700
498	3678	3692
499	3684	3684
500	3689	3675
501	3697	3667
502	3704	3660
503	3711	3652
504	3718	3645
505	3724	3635
506	3731	3628
507	3738	3620
508	3745	3612
509	3750	3603
510	3758	3596
511	3765	3588
512	3770	3579
513	3775	3570
514	3783	3563
515	3789	3554
516	3796	3546
517	3803	3539
518	3810	3531
519	3818	3524
520	3823	3515
521	3831	3508
522	3836	3499
523	3843	3491
524	3850	3483
525	3857	3476
526	3864	3468
527	3872	3461
528	3877	3452
529	3882	3442
530	3889	3435
531	3896	3427
532	3905	3422
533	3911	3413
534	3919	3406
535	3925	3397
536	3935	3393
537	3942	3385
538	3949	3378
539	3954	3368
540	3962	3361
541	3967	3352
542	3974	3345
543	3985	3340
544	3990	3331
545	3996	3323
546	4010	3321
547	4017	3313
548	4023	3305
549	4030	3297
550	4037	3290
551	4042	3281
552	4050	3273
553	4056	3265
554	4063	3258
555	4070	3250
556	4076	3242
557	4081	3232
558	4088	3225
559	4096	3218
560	4103	3211
561	4113	3206
562	4120	3198
563	4128	3191
564	4135	3184
565	4140	3175
566	4147	3167
567	4154	3159
568	4161	3152
569	4167	3143
570	4172	3134
571	4179	3127
572	4184	3118
573	4191	3110
574	4196	3101
575	4203	3094
576	4211	3087
577	4218	3079
578	4228	3074
579	4239	3069
580	4244	3061
581	4251	3053
582	4258	3045
583	4263	3037
584	4270	3029
585	4276	3021
586	4283	3013
587	4289	3005
588	4296	2997
589	4303	2990
590	4311	2983
591	4316	2975
592	4323	2967
593	4331	2960
594	4335	2951
595	4342	2943
596	4349	2936
597	4357	2928
598	4361	2920
599	4369	2912
600	4375	2904
601	4388	2901
602	4393	2892
603	4398	2884
604	4405	2876
605	4413	2869
606	4420	2861
607	4427	2854
608	4433	2846
609	4440	2839
610	4445	2830
611	4450	2821
612	4457	2814
613	4465	2807
614	4470	2798
615	4477	2791
616	4484	2783
617	4492	2776
618	4499	2769
619	4504	2760
620	4510	2752
621	4517	2745
622	4524	2737
623	4532	2731
624	4538	2723
625	4544	2714
626	4550	2706
627	4558	2700
628	4564	2692
629	4571	2684
630	4580	2678
631	4588	2671
632	4594	2663
633	4599	2655
634	4606	2647
635	4613	2640
636	4621	2633
637	4629	2626
638	4636	2619
639	4643	2612
640	4651	2605
641	4659	2598
642	4666	2591
643	4673	2583
644	4679	2575
645	4684	2567
646	4690	2559
647	4697	2551
648	4703	2543
649	4708	2535
650	4715	2528
651	4723	2521
652	4731	2514
653	4738	2506
654	4747	2500
655	4754	2493
656	4761	2485
657	4769	2478
658	4776	2471
659	4782	2463
660	4788	2455
661	4796	2448
662	4804	2441
663	4810	2434
664	4815	2425
665	4821	2418
666	4829	2411
667	4837	2404
668	4845	2397
669	4852	2389
670	4859	2382
671	4866	2375
672	4874	2368
673	4881	2361
674	4887	2353
675	4893	2345
676	4902	2338
677	4909	2331
678	4917	2324
679	4924	2317
680	4929	2309
681	4934	2300
682	4941	2293
683	4948	2286
684	4955	2278
685	4962	2271
686	4969	2264
687	4977	2257
688	4985	2250
689	4990	2241
690	4997	2234
691	5002	2226
692	5009	2219
693	5017	2212
694	5024	2204
695	5031	2197
696	5041	2191
697	5047	2184
698	5055	2177
699	5062	2169
700	5070	2162
701	5080	2156
702	5085	2148
703	5096	2142
704	5101	2134
705	5110	2128
706	5121	2122
707	5127	2114
708	5133	2106
709	5142	2100
710	5151	2093
711	5159	2086
712	5166	2079
713	5173	2072
714	5181	2065
715	5186	2057
716	5195	2050
717	5203	2043
718	5210	2036
719	5220	2030
720	5229	2023
721	5237	2016
722	5245	2009
723	5250	2001
724	5258	1994
725	5263	1986
726	5268	1978
727	5273	1970
728	5281	1963
729	5288	1955
730	5297	1949
731	5307	1943
732	5314	1935
733	5322	1928
734	5329	1921
735	5336	1914
736	5344	1907
737	5352	1900
738	5359	1892
739	5366	1885
740	5373	1878
741	5380	1870
742	5387	1863
743	5394	1856
744	5401	1849
745	5408	1841
746	5416	1834
747	5423	1827
